,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,机制,适用标准（EN18031）,技术要求项目,requirement技术要求,项目需被测试的条件,评估对象,概念评估,功能完整性评估,功能充分性评估,涉及的工具,,,,,,,,,,
,,-1、-2、-3,"[CCK-3]Preventing static default values for preinstalled CCKs
防止为预置 CCK 使用静态默认值","Preinstalled confidential cryptographic keys shall be practically unique per equipment, except for:
-CCKs that are only used for establishing initial trust relationships under conditions controlledby an authorized entity; or
-CCKS key are shared parameters required for the equipment's intended functionality
预置的机密密钥机密密码密钥（CCK）应当在实践中做到每台设备唯一，以下情况除外每个设备预装的机密加密密钥实际上应是唯的，但以下情况除外：
—	CCKC仅用于在由授权实体控制的条件下建立初始信任关系的 CCK；CKsCCKs仅用于在授权实体控制的条件下建立初始信任关系；或者
—	 CCK作为设备实现其预期功能所必需的共享参数的 CCKCCKSCCKS 密钥是设备预期功能所需的共享参数。",设备在使用过程中存在预置的机密密钥,"Preinstalled confidential cryptographic keys
每个预制的机密密钥",,"【EN18031-1】
功能评估是否所有预置的 CCK 均已被记录在文档中。

【EN18031-2】
验证所有预装的CCK是否记录在[E.Info.CCK-3]中

【EN18031-3】
验证所有预装的CCK是否记录在[E.Info.CCK-3]中",,,,,,,,,,,,
,"GEC
通用设备能力",-1、-2、-3,"[GEC-1] Up-to-date software and hardware with no publicly known exploitable vulnerabilities
确保软件和硬件保持最新，且不存在任何公开已知可利用的漏洞","The equipment shall not include publicly known exploitable vulnerabilities that, if exploited, affectsecurity assets and network assets, except for vulnerabilities:
-that cannot be exploited in the specific conditions of the equipment; or
-that have been mitigated to an acceptable residual risk; or
-that have been accepted on a risk basis.
设备不得包含公开已知的、一旦被利用会影响安全资产和网络资产的可利用漏洞，以下漏洞除外：
—	在设备的特定条件下无法被利用的漏洞；或
—	已降低至可接受的残余风险的漏洞；或
—	基于风险评估而被接受的漏洞。",无,"each software and hardware on the equipment in factory default state
出厂默认状态下，设备上的软件和硬件清单",,"【EN18031-1】
设备中存在的、影响安全资产或网络资产的漏洞仅限于 [E.Info.GEC-1.ListOfVulnerabilities] 中列出的漏洞。

【EN18031-2】
验证所有相关公开已知漏洞是否记录在[E.Info.GEC-1.ListOfVulnerabilities]中

【EN18031-3】
验证所有相关公开已知漏洞是否记录在[E.Info.GEC-1.ListOfVulnerabilities]中",,,,,,,,,,,,
,,-1、-2、-3,"[GEC-2] Limit exposure of services via related network interfaces
限制通过相关网络接口暴露服务","In factory default state the equipment shall only expose
-network interfaces; and
-services via networkinterfaces
-affecting security assets or network assets which are necessary for equipment setup or for basic operation of the equipment.
在出厂默认状态下，设备应仅暴露影响安全资产或网络资产，且对于设备设置或基本操作是必要的以下：
—	网络接口；以及
—	通过网络接口提供的服务。",无/设备存在网络接口,"each network interface and exposed service (via network interfaces) in factory default state
出厂默认状态下，每个暴露的网络接口和网络接口上的服务",,"【EN18031-1】
评估是否存在其他在出厂默认状态下暴露的网络接口或服务（通过网络接口暴露），这些接口或服务未在 [E.Info.GEC-2.NetworkInterface.Exposure] 中列出，或者根据 [E.Info.GEC-2.Setup] 进行设置或基本操作时不需要

【EN18031-2】
验证所有出厂默认暴露的网络接口/服务是否记录在[E.Info.GEC-2]中

【EN18031-3】
验证所有出厂默认暴露的网络接口/服务是否记录在[E.Info.GEC-2]中",,,,,,,,,,,,
,,-1、-2、-3,"[GEC-3] Configuration of optional services and the related exposed network interfaces
配置可选服务和相关暴露网络接口","Optional network interfaces or optional services exposed via network interfaces affecting security assetsor network assets, which are part of the factory default state shall have the option for an authorized userto enable and disable the networkinterface or service.
在出厂默认状态下，通过网络接口暴露的、且影响安全资产或网络资产的可选网络接口或可选服务，必须提供允许授权用户启用和禁用该网络接口或服务的选项。",存在网络接口且存在可选的接口或服务,"each optional network interface andexposed optional service (via network interfaces)that is part of the factory default state
出厂默认状态下，每个可选的网络接口和暴露的可选服务
",,"【EN18031-1】
功能性评估是否存在未在 [E.Info.GEC 3.NetworkInterface.Exposure] 中列出的可选网络接口，或通过网络接口暴露的可选服务

【EN18031-2】
验证所有可选网络接口/服务是否记录在[E.Info.GEC-3]中

【EN18031-3】
验证所有可选网络接口/服务是否记录在[E.Info.GEC-3]中",,,,,,,,,,,,
,,-1、-2、-3,"[GEC-4] Documentation of exposed network interfaces and exposed services via networkinterfaces
暴露的网络接口和（通过网络接口）暴露的服务的用户文档","The equipment's user documentation shall contain a description of all exposed network interfaces; and
all services exposed via network interfaces
which are delivered as part of the factory default state.
设备的用户文档作为出厂默认状态的一部分被交付，其应包含以下内容：
—	暴露的所有网络接口的描述；以及
—	通过网络接口暴露的所有服务的描述。",,"each network interface and service exposed via network interfaces
出厂默认状态下每个暴露的网络接口和服务",,"【EN18031-1】
确定用户文档是否描述了所有作为出厂默认状态一部分交付的网络接口和服务（通过网络接口暴露）。

【EN18031-2】
验证用户文档是否覆盖所有出厂默认暴露的网络接口/服务

【EN18031-3】
验证用户文档是否覆盖所有出厂默认暴露的网络接口/服务",,,,,,,,,,,,
,,-1、-2、-3,"[GEC-5] No unnecessary external interfaces
无不必要的物理外部接口","The equipment shall only expose physical external interfaces if they are necessary for its intended
functionality.
设备只应暴露其预期功能所必需的物理外部接口。",无,"【EN18031-1】
each physical external interface exposed by the equipment
设备暴露的每个物理外部接口",,"【EN18031-1】
尝试发现任何通过设备暴露的物理外部接口，即使相关接口功能未启用或未记录在 [E.Info.GEC-5.PhysicalExternalInterface]

【EN18031-2】
验证所有物理外部接口是否记录在[E.Info.GEC-5]中

【EN18031-3】
验证所有物理外部接口是否记录在[E.Info.GEC-5]中",,,,,,,,,,,,
,,-1、-2、-3,"[GEC-6] input validation
输入验证","The equipment shall validate input received via external interfaces if the input has potential impact onsecurity assets and/or network assets.
如果外部接口接收到的输入对安全资产和/或网络资产/或隐私资产/或金融资产具有潜在影响，则设备必须验证该输入。",无,"【EN18031-1】
each  external interface which has capable of receiving input
对于每个外部接口接收且可能影响资产的每类输入
",,"【EN18031-1】
检查中发现的所有外部接口的输入方式均已记录在 [E.Info.GEC-6.ExternalInterface]

【EN18031-2】
验证所有可能影响安全/隐私资产的输入是否记录在[E.Info.GEC-6]中

【EN18031-3】
验证输入验证机制是否记录在[E.Info.GEC-6]中",,,,,,,,,,,,
,,-2、-3,"【EN18031-2】
[GEC-7] Documentation of external sensing capabilities
外部感知能力的文档

【EN18031-3】
[GEC-7] This clause is intentionally left blank
本条款有意留空","【EN18031-2】
All external sensing capabilities of the equipment that are related to the user's or subscriber's privacy shall be documented for the user.
设备所有与用户或订户隐私相关的外部感知能力应向用户提供文档说明。

【EN18031-3】
This clause is intentionally left blank.
本条款有意留空。","【EN18031-2】
设备存在与隐私相关的外部感知能力

【EN18031-3】
不适用","【EN18031-2】
each external sensing capability related to user's or subscriber's privacy
每个与用户或订户隐私相关的外部感知能力

【EN18031-3】
不适用",,"【EN18031-2】
验证所有与隐私相关的外部感知能力是否记录在[E.Info.GEC-7]中

【EN18031-3】
无",,,,,,,,,,,,
,,-3,"[GEC-8] Equipment Integrity
设备完整性","【EN18031-3】
Equipment, which processes financial data, shall cryptographically verify the boot process integrity and authenticity of its software (provided by the manufacturer or its sub-contractor), using a root of trust which is immutable or, mutable under cryptographically authenticated authorization, for each part of its software which processes financial assets and security assets.
处理金融数据的设备应使用不可变的信任根，或在经过密码学认证授权下可变的信任根，对其（由制造商或其分包商提供的）软件的启动过程完整性和真实性进行密码学验证，涵盖处理金融资产和安全资产的每一部分软件。","【EN18031-3】
设备处理金融数据","each part of software processing financial assets and security assets and its root of trust
处理金融资产和安全资产的每一部分软件及其信任根",,"【EN18031-3】
验证启动完整性/真实性方案与信任根是否记录在[E.Info.GEC-8]中",,,,,,,,,,,,
,"CRY
密码学",-1、-2、-3,"[CRY-1] Best practice cryptography
最佳密码学实践","The equipment shall use best practice for cryptography that is used for the protection of the securityassets or network assets, except for:
-cryptography used for a specific security mechanism, where a deviation is identified andjustified under the terms of sections ACM or AUM or SCM or SUM or SSM.
设备应使用密码学最佳实践来保护安全资产或网络资产，但以下情况除外：
—	用于特定安全机制的密码学，且已经根据 ACM、AUM、SCM、SUM 或 SSM 章节的条款识别并论证了偏离最佳实践的合理性。",设备存在密码机制,"each cryptography used to protect security assets or network or privacy or fianancial assets
每个用于保护安全/网络资产/隐私资产/金融资产的密码学机制",,"【EN18031-1】
对[E.Info.CRY-1.Assets.Cryptography] 记录的密码机制完整性进行功能评估

【EN18031-2】
验证所有用于保护安全/隐私资产的密码学机制是否记录在[E.Info.CRY-1]中

【EN18031-3】
验证所有密码学机制是否记录在[E.Info.CRY-1]中",,,,,,,,,,,,
,"LGM
日志机制",-2、-3,"[LGM-1] Applicability of logging mechanisms
日志机制的适用性","The equipment shall use logging mechanisms for internal activities that are relevant to privacy/financial assets and their protection (referred to as events), except for internal activities where a legal obligation prohibits logging.
设备应对与隐私资产/或金融资产及其保护相关的内部活动（称为事件）使用日志机制，除非法律义务禁止记录。",设备存在与隐私资产及其保护相关的内部活动,"each event relevant to privacy/financial assets and their protection
与隐私资产及其保护相关的每个事件",,"【EN18031-2】
验证所有与隐私资产相关的事件是否记录在[E.Info.LGM-1.Event]中

【EN18031-3】
验证所有此类事件是否记录在[E.Info.LGM-1]中",,,,,,,,,,,,
,,-2、-3,"[LGM-2] Persistent storage of log data
日志数据的持久存储","Logging mechanisms that are required per LGM-1 shall store log data for related events in the equipment's persistent storage, except for events where related log data is stored outside the equipment.
LGM-1所需的日志机制应将相关事件的日志数据存储在设备的持久存储中，除非相关日志数据存储在设备外部。",设备存在LGM-1所需的日志机制,"each logging mechanism required per LGM-1
LGM-1所需的每个日志机制",,"【EN18031-2】
无

【EN18031-3】
验证日志持久化存储配置是否记录在[E.Info.LGM-2]中",,,,,,,,,,,,
,,-2、-3,"[LGM-3] Minimum number of persistently stored events
持久存储事件的最少数量","All log data stored in equipment's persistent storage by logging mechanisms that are required per LGM-1 shall always include a minimum number of the latest events; and the latest event.
LGM-1所需的日志机制存入设备持久存储的所有日志数据应始终包含最新事件以及最近事件的最少数量。",设备存在LGM-1所需的日志机制且事件被持久存储,"log data persistently stored by logging mechanisms required per LGM-1
LGM-1所需的日志机制持久存储的日志数据",,"【EN18031-2】
无

【EN18031-3】
验证日志保留策略是否记录在[E.Info.LGM-3]中",,,,,,,,,,,,
,,-2、-3,"[LGM-4] Time-related information of persistently stored log data
持久存储日志的时间相关信息","All log data stored in equipment's persistent storage by logging mechanisms that are required per LGM-1 shall include:
- a timestamp if real time is available on the equipment; and
- time-related information if real time is not available on the equipment.
LGM-1所需的日志机制持久存储的所有日志数据应在设备有
- 实时时钟时包含时间戳
- 在无实时时钟时包含时间相关信息",设备存在LGM-1所需的日志机制且事件被持久存储,"log data persistently stored by logging mechanisms required per LGM-1
LGM-1所需的日志机制持久存储的日志数据",,"【EN18031-2】
无

【EN18031-3】
验证日志时间信息是否记录在[E.Info.LGM-4]中",,,,,,,,,,,,
,"DLM
删除机制",-2,"[DLM-1] Applicability of deletion mechanisms
删除机制的适用性","【EN18031-2】
The equipment shall provide a deletion mechanism that allows a user to delete their personal data and sensitive security parameters stored on the equipment.
设备应提供一种删除机制，允许用户删除存储在设备上的其个人数据和敏感安全参数。",设备存储了用户个人数据或敏感安全参数,"each deletion mechanism for user's personal data and sensitive security parameters
用于删除用户个人数据与敏感安全参数的每个删除机制",,"【EN18031-2】
验证所有存储在设备上的用户个人数据和敏感安全参数是否记录在[E.Info.DLM-1]中",,,,,,,,,,,,
,"UNM
用户通知机制",-2,"[UNM-1] Applicability of user notification mechanisms
用户通知机制的适用性","The equipment shall provide user notification mechanism(s) for informing the user of the equipment about changes affecting the protection or privacy of personal information, except for changes where other methods of informing the user exist, which do not involve the equipment.
设备应提供用户通知机制，将影响个人信息保护或隐私的变更告知设备用户，除非存在不涉及设备的其他告知方式。",设备存在可能影响个人信息保护或隐私的变更,"each change affecting the protection or privacy of personal information
影响个人信息保护或隐私的每个变更",,"【EN18031-2】
验证所有影响个人信息保护/隐私的变更是否记录在[E.Info.UNM-1]中",,,,,,,,,,,,
,,-2,"[UNM-2] Appropriate user notification content
适当的用户通知内容","The content of a notification provided by a user notification mechanism that is required per UNM-1 shall include at least: a description of a change; and a description of how a change will affect the protection and privacy of personal information.
UNM-1所需的用户通知机制提供的通知内容至少应包括：变更的描述；以及该变更如何影响个人信息保护与隐私的描述。",设备存在UNM-1所需的用户通知机制,"each user notification mechanism required per UNM-1
UNM-1所需的每个用户通知机制",,"【EN18031-2】
无",,,,,,,,,,,,
